track_id,Unnamed: 0,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
4zcMBfbQZvBSHQBGDd6gsN,124,0.57,0.04092952564253111,0,0.496,0.117,0,0.6778573146144312,1,0.031191709844559583,0.933,0.0,0.126,0.318,0.3207764245681508
7bhHLZxkRekrNPPkEdDTbn,125,0.42,0.03904305562317952,0,0.585,0.724,1,0.7957013114329579,0,0.0772020725388601,0.315,0.0681,0.0448,0.333,0.7703597784461647
5rwq6R0Uq0BngM3rdmCeNg,126,0.67,0.05288989831582907,0,0.582,0.253,10,0.7047518635665797,1,0.026839378238341968,0.827,2.95e-05,0.091,0.294,0.3705685124007692
2lxBZVbkiCXC1soks2RXwV,127,0.61,0.04090661305120296,0,0.637,0.14,2,0.703974992138801,1,0.04217616580310881,0.903,0.0,0.107,0.392,0.5743470900514438
38YgZVHPWOWsKrsCXz6JyP,128,0.71,0.04108475844877938,0,0.672,0.623,9,0.8107578195808594,1,0.03077720207253886,0.241,0.0,0.0848,0.617,0.3780960833620959
6XrNrp7UtGgyZcHJ0ckL0w,129,0.49,0.05668231405716119,0,0.422,0.272,4,0.7169228492684461,0,0.03658031088082901,0.496,1.07e-05,0.0704,0.113,0.5892748549545552
72R0X0h8YaxYNpegeoOl0M,130,0.61,0.045025724157222384,0,0.47,0.801,9,0.797310545104785,1,0.036476683937823835,0.0758,3.53e-05,0.218,0.431,0.7146261689923245
6R6ux6KaKrhAg2EIB2krdU,131,0.61,0.043712068921074716,0,0.564,0.864,4,0.8214490501821947,1,0.03533678756476684,0.0761,0.0,0.182,0.534,0.3943921239912561
2D9w6sabdMCLSheW5aegwO,132,0.2,0.06476549440121283,0,0.521,0.495,5,0.7727096165584595,1,0.027979274611398965,0.128,0.0,0.296,0.116,0.5549570205282448
1Qo3taHLFSQpzLm5Sty7M4,133,0.22,0.0566786862302009,0,0.616,0.81,2,0.7957568022492277,1,0.06922279792746114,0.369,0.0,0.107,0.79,0.4026510855809214
71M4QMn8nrok1KFVXwEEyU,134,0.35,0.04167036609547486,0,0.615,0.812,7,0.7945914951075597,1,0.04746113989637306,0.184,0.0,0.328,0.74,0.40659566425061217
4lxGVzcUaSF5HW5jtWnShV,135,0.6,0.028979272697069767,0,0.478,0.305,5,0.6745648595157502,1,0.03170984455958549,0.675,0.00139,0.169,0.0974,0.4464769981756323
2PIlBukQ6limukVR8Ubb5o,136,0.59,0.03463620055773066,0,0.479,0.541,0,0.7337550635369845,1,0.05647668393782384,0.737,0.0,0.108,0.321,0.3533438522097858
5p9XWUdvbUzmPCukOmwoU3,137,0.73,0.03851339288697696,0,0.587,0.767,0,0.8104988624382664,1,0.04652849740932643,0.225,0.0,0.112,0.664,0.4124550071495488
1uSuY2qLCbx1QB7oPUVhFG,138,0.22,0.03670979007292887,0,0.514,0.569,6,0.7706749532952296,0,0.031088082901554404,0.601,2.21e-06,0.218,0.264,0.585921963085318
6twvFrIoIINH8UW8EB8OnU,139,0.19,0.037969027904672166,0,0.646,0.836,1,0.8014353624475148,1,0.0338860103626943,0.301,3.23e-05,0.29,0.727,0.43551024768666896
2pelUnMKr07JjJpilj9Yew,140,0.24,0.03663895197807265,0,0.57,0.711,9,0.8393170930211049,1,0.07284974093264249,0.119,0.0,0.352,0.648,0.6702373321499596
7d0bJhpp0mCYyMXaMgWyMS,141,0.57,0.03270638755311664,0,0.678,0.199,9,0.7351793278212455,1,0.03181347150259067,0.957,3.23e-06,0.0968,0.262,0.29586805384349885
73CbJykoV6WapWGfTeRzTl,142,0.35,0.0489642076682715,0,0.589,0.867,10,0.8325102195586629,1,0.03989637305699482,0.041,0.0,0.306,0.795,0.3883766415199776
